participant_name,ev,market,line,game,date
Russell Westbrook,13.344999999999999,player_rebounds_over_under,5.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_rebounds_over_under.json,2024-01-26
Dennis Schroder,13.340000000000003,player_rebounds_over_under,2.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_rebounds_over_under.json,2024-01-26
Tim Hardaway Jr.,13.340000000000003,player_assists_over_under,1.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_assists_over_under.json,2024-01-26
Wendell Carter Jr.,12.689999999999998,player_blocks_steals_over_under,1.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_blocks_steals_over_under.json,2024-01-26
Cason Wallace,12.689999999999998,player_steals_over_under,0.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_steals_over_under.json,2024-01-26
Jonathan Isaac,12.5,player_blocks_steals_over_under,1.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_blocks_steals_over_under.json,2024-01-26
Russell Westbrook,11.869999999999997,player_assists_rebounds_over_under,9.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_assists_rebounds_over_under.json,2024-01-26
Pascal Siakam,11.825000000000003,player_steals_over_under,0.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_steals_over_under.json,2024-01-26
Daniel Theis,11.82,player_blocks_steals_over_under,1.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_blocks_steals_over_under.json,2024-01-26
Cody Martin,11.82,player_assists_over_under,2.5,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_assists_over_under.json,2024-01-26
Bennedict Mathurin,11.130000000000003,player_rebounds_over_under,3.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_rebounds_over_under.json,2024-01-26
Shai Gilgeous-Alexander,11.130000000000003,player_rebounds_over_under,5.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_rebounds_over_under.json,2024-01-26
Mason Plumlee,10.950000000000003,player_points_over_under,6.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_points_over_under.json,2024-01-26
Larry Nance Jr.,10.909999999999997,player_points_over_under,6.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_points_over_under.json,2024-01-26
Scottie Barnes,10.909999999999997,player_blocks_steals_over_under,2.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_blocks_steals_over_under.json,2024-01-26
Pat Connaughton,10.909999999999997,player_rebounds_over_under,2.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_rebounds_over_under.json,2024-01-26
Norman Powell,10.909999999999997,player_rebounds_over_under,2.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_rebounds_over_under.json,2024-01-26
Joe Ingles,10.909999999999997,player_rebounds_over_under,2.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_rebounds_over_under.json,2024-01-26
Sam Merrill,10.535,player_threes_over_under,2.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_threes_over_under.json,2024-01-26
Shai Gilgeous-Alexander,10.460000000000004,player_steals_over_under,1.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_steals_over_under.json,2024-01-26
Myles Turner,10.190000000000001,player_blocks_over_under,1.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_blocks_over_under.json,2024-01-26
Cody Martin,10.170000000000002,player_rebounds_over_under,3.5,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_rebounds_over_under.json,2024-01-26
Eric Gordon,10.170000000000002,player_assists_over_under,1.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_assists_over_under.json,2024-01-26
Scottie Barnes,9.885000000000002,player_blocks_over_under,1.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_blocks_over_under.json,2024-01-26
Dejounte Murray,9.780000000000005,player_threes_over_under,2.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_threes_over_under.json,2024-01-26
Russell Westbrook,9.409999999999997,player_blocks_steals_over_under,1.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_blocks_steals_over_under.json,2024-01-26
Brandon Ingram,9.409999999999997,player_blocks_over_under,0.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_blocks_over_under.json,2024-01-26
Dante Exum,9.409999999999997,player_assists_rebounds_over_under,6.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_assists_rebounds_over_under.json,2024-01-26
Daniel Theis,9.409999999999997,player_assists_points_over_under,6.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_assists_points_over_under.json,2024-01-26
Anfernee Simons,9.21,player_assists_over_under,6.5,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_assists_over_under.json,2024-01-26
Josh Green,9.175,player_assists_over_under,2.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_assists_over_under.json,2024-01-26
Isaiah Joe,9.149999999999999,player_assists_rebounds_over_under,3.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_rebounds_over_under.json,2024-01-26
Isaac Okoro,9.085,player_rebounds_over_under,2.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_rebounds_over_under.json,2024-01-26
Grayson Allen,9.049999999999997,player_threes_over_under,2.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_threes_over_under.json,2024-01-26
Luke Kennard,8.840000000000003,player_threes_over_under,3.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_threes_over_under.json,2024-01-26
Jae Crowder,8.619999999999997,player_points_over_under,3.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_points_over_under.json,2024-01-26
Jonathan Isaac,8.619999999999997,player_assists_rebounds_over_under,4.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_rebounds_over_under.json,2024-01-26
Terance Mann,8.619999999999997,player_assists_rebounds_over_under,4.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_assists_rebounds_over_under.json,2024-01-26
Chet Holmgren,8.375,player_assists_over_under,2.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_over_under.json,2024-01-26
Daniel Theis,8.350000000000001,player_points_over_under,5.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_points_over_under.json,2024-01-26
Nick Richards,8.350000000000001,player_blocks_steals_over_under,1.5,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_blocks_steals_over_under.json,2024-01-26
Jordan Hawkins,8.350000000000001,player_assists_rebounds_over_under,3.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_rebounds_over_under.json,2024-01-26
Larry Nance Jr.,8.350000000000001,player_assists_rebounds_over_under,8.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_rebounds_over_under.json,2024-01-26
Cedi Osman,8.350000000000001,player_rebounds_over_under,2.5,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_rebounds_over_under.json,2024-01-26
David Roddy,8.350000000000001,player_rebounds_over_under,3.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_rebounds_over_under.json,2024-01-26
Dyson Daniels,8.350000000000001,player_assists_over_under,2.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_over_under.json,2024-01-26
Keldon Johnson,7.905000000000001,player_threes_over_under,1.5,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_threes_over_under.json,2024-01-26
Obi Toppin,7.799999999999997,player_rebounds_over_under,2.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_rebounds_over_under.json,2024-01-26
