participant_name,ev,market,line,type,game,date,over_odds,under_odds
Patrick Williams,15.299999999999997,player_assists_over_under,1.5,under,fantasy__2024-01-20__582f64bc23c849a507e42582e2924d8d__player_assists_over_under.json,2024-01-20,170.0,-230.0
Corey Kispert,14.870000000000005,player_assists_rebounds_over_under,3.5,under,fantasy__2024-01-20__283d1516eda10fba182b0da699a37e20__player_assists_rebounds_over_under.json,2024-01-20,165.0,-230.0
David Roddy,14.719999999999999,player_assists_over_under,1.5,under,fantasy__2024-01-20__582f64bc23c849a507e42582e2924d8d__player_assists_over_under.json,2024-01-20,165.0,-225.0
Gary Trent Jr.,14.719999999999999,player_assists_over_under,1.5,under,fantasy__2024-01-20__12713beef7fe755281506deb8489c3f6__player_assists_over_under.json,2024-01-20,165.0,-225.0
Devin Vassell,14.560000000000002,player_rebounds_over_under,3.5,under,fantasy__2024-01-20__283d1516eda10fba182b0da699a37e20__player_rebounds_over_under.json,2024-01-20,165.0,-220.0
Ayo Dosunmu,14.560000000000002,player_assists_over_under,2.5,over,fantasy__2024-01-20__582f64bc23c849a507e42582e2924d8d__player_assists_over_under.json,2024-01-20,-220.0,165.0
Kelly Oubre Jr.,14.549999999999997,player_rebounds_over_under,4.5,under,fantasy__2024-01-20__a1b9ed8a3d6843a5b166da26c14a09c2__player_rebounds_over_under.json,2024-01-20,163.0,-225.0
Jalen Brunson,14.129999999999995,player_rebounds_over_under,3.5,under,fantasy__2024-01-20__12713beef7fe755281506deb8489c3f6__player_rebounds_over_under.json,2024-01-20,160.0,-220.0
Coby White,13.96,player_assists_rebounds_over_under,10.5,under,fantasy__2024-01-20__582f64bc23c849a507e42582e2924d8d__player_assists_rebounds_over_under.json,2024-01-20,160.0,-215.0
Lauri Markkanen,13.340000000000003,player_blocks_steals_over_under,1.5,under,fantasy__2024-01-20__6d4eb180e64d4d05e7571d49bf8b3ae0__player_blocks_steals_over_under.json,2024-01-20,155.0,-210.0
Luke Kennard,13.340000000000003,player_rebounds_over_under,3.5,under,fantasy__2024-01-20__582f64bc23c849a507e42582e2924d8d__player_rebounds_over_under.json,2024-01-20,155.0,-210.0
Clint Capela,13.340000000000003,player_steals_over_under,0.5,under,fantasy__2024-01-20__ad6ca99096279fe9049ddfea86f2d08d__player_steals_over_under.json,2024-01-20,155.0,-210.0
Cody Martin,13.149999999999999,player_assists_over_under,2.5,under,fantasy__2024-01-20__a1b9ed8a3d6843a5b166da26c14a09c2__player_assists_over_under.json,2024-01-20,155.0,-205.0
Jalen Brunson,13.049999999999997,player_rebounds_over_under,3.5,over,fantasy__2024-01-20__12713beef7fe755281506deb8489c3f6__player_rebounds_over_under.json,2024-01-20,-215.0,150.0
Cody Martin,12.689999999999998,player_rebounds_over_under,4.5,over,fantasy__2024-01-20__a1b9ed8a3d6843a5b166da26c14a09c2__player_rebounds_over_under.json,2024-01-20,-205.0,150.0
Alec Burks,12.5,player_rebounds_over_under,2.5,under,fantasy__2024-01-20__efe089400f422333c9a375a03b3be99b__player_rebounds_over_under.json,2024-01-20,150.0,-200.0
Kenrich Williams,12.5,player_assists_over_under,1.5,under,fantasy__2024-01-20__e333c703b9bb4f6b0984329813877442__player_assists_over_under.json,2024-01-20,150.0,-200.0
Khris Middleton,12.030000000000001,player_blocks_steals_over_under,1.5,over,fantasy__2024-01-20__efe089400f422333c9a375a03b3be99b__player_blocks_steals_over_under.json,2024-01-20,-200.0,145.0
Max Strus,12.030000000000001,player_rebounds_over_under,4.5,under,fantasy__2024-01-20__ad6ca99096279fe9049ddfea86f2d08d__player_rebounds_over_under.json,2024-01-20,145.0,-200.0
Alex Caruso,11.830000000000002,player_steals_over_under,1.5,under,fantasy__2024-01-20__582f64bc23c849a507e42582e2924d8d__player_steals_over_under.json,2024-01-20,157.5,-221.0
Devin Vassell,11.82,player_threes_over_under,2.5,over,fantasy__2024-01-20__283d1516eda10fba182b0da699a37e20__player_threes_over_under.json,2024-01-20,-195.0,145.0
Scottie Barnes,11.82,player_threes_over_under,1.5,under,fantasy__2024-01-20__12713beef7fe755281506deb8489c3f6__player_threes_over_under.json,2024-01-20,145.0,-195.0
Dillon Brooks,11.82,player_blocks_steals_over_under,1.5,under,fantasy__2024-01-20__6d4eb180e64d4d05e7571d49bf8b3ae0__player_blocks_steals_over_under.json,2024-01-20,145.0,-195.0
Nicolas Batum,11.82,player_blocks_steals_over_under,1.5,under,fantasy__2024-01-20__a1b9ed8a3d6843a5b166da26c14a09c2__player_blocks_steals_over_under.json,2024-01-20,145.0,-195.0
Nicolas Batum,11.82,player_blocks_over_under,0.5,under,fantasy__2024-01-20__a1b9ed8a3d6843a5b166da26c14a09c2__player_blocks_over_under.json,2024-01-20,145.0,-195.0
Corey Kispert,11.82,player_assists_over_under,1.5,under,fantasy__2024-01-20__283d1516eda10fba182b0da699a37e20__player_assists_over_under.json,2024-01-20,145.0,-195.0
David Roddy,11.7,player_assists_points_rebounds_over_under,15.5,under,fantasy__2024-01-20__582f64bc23c849a507e42582e2924d8d__player_assists_points_rebounds_over_under.json,2024-01-20,61.5,-227.0
Paul Reed,10.909999999999997,player_points_over_under,4.5,under,fantasy__2024-01-20__a1b9ed8a3d6843a5b166da26c14a09c2__player_points_over_under.json,2024-01-20,140.0,-185.0
Kris Dunn,10.909999999999997,player_assists_over_under,4.5,over,fantasy__2024-01-20__6d4eb180e64d4d05e7571d49bf8b3ae0__player_assists_over_under.json,2024-01-20,-185.0,140.0
Bojan Bogdanovic,10.399999999999999,player_threes_over_under,2.5,under,fantasy__2024-01-20__efe089400f422333c9a375a03b3be99b__player_threes_over_under.json,2024-01-20,135.0,-185.0
Jordan Poole,10.399999999999999,player_assists_over_under,3.5,under,fantasy__2024-01-20__283d1516eda10fba182b0da699a37e20__player_assists_over_under.json,2024-01-20,135.0,-185.0
Kelly Oubre Jr.,10.170000000000002,player_blocks_steals_over_under,1.5,under,fantasy__2024-01-20__a1b9ed8a3d6843a5b166da26c14a09c2__player_blocks_steals_over_under.json,2024-01-20,135.0,-180.0
Jaden Ivey,10.170000000000002,player_assists_rebounds_over_under,9.5,under,fantasy__2024-01-20__efe089400f422333c9a375a03b3be99b__player_assists_rebounds_over_under.json,2024-01-20,135.0,-180.0
Onyeka Okongwu,10.170000000000002,player_assists_rebounds_over_under,7.5,over,fantasy__2024-01-20__ad6ca99096279fe9049ddfea86f2d08d__player_assists_rebounds_over_under.json,2024-01-20,-180.0,135.0
Kelly Oubre Jr.,10.170000000000002,player_rebounds_over_under,4.5,over,fantasy__2024-01-20__a1b9ed8a3d6843a5b166da26c14a09c2__player_rebounds_over_under.json,2024-01-20,-180.0,135.0
Simone Fontecchio,10.170000000000002,player_assists_over_under,1.5,over,fantasy__2024-01-20__6d4eb180e64d4d05e7571d49bf8b3ae0__player_assists_over_under.json,2024-01-20,-180.0,135.0
Jeff Green,9.409999999999997,player_points_over_under,5.5,under,fantasy__2024-01-20__6d4eb180e64d4d05e7571d49bf8b3ae0__player_points_over_under.json,2024-01-20,130.0,-175.0
Tyrese Maxey,9.200000000000003,player_assists_points_rebounds_over_under,37.5,under,fantasy__2024-01-20__a1b9ed8a3d6843a5b166da26c14a09c2__player_assists_points_rebounds_over_under.json,2024-01-20,129.0,-173.0
Patrick Williams,9.149999999999999,player_assists_points_over_under,12.5,under,fantasy__2024-01-20__582f64bc23c849a507e42582e2924d8d__player_assists_points_over_under.json,2024-01-20,130.0,-170.0
