timestamp,handicap,odds,participant,participant_name,name,description
2024-01-27T19:08:07,0.5,1000,17180.0,Alec Burks,Over - Alec Burks, Assists
2024-01-27T18:00:03,1.5,180,17180.0,Alec Burks,Over - Alec Burks, Assists
2024-01-27T19:00:14,0.5,1200,16127.0,Ausar Thompson,Over - Ausar Thompson, Assists
2024-01-27T17:30:04,1.5,170,,,Over - Ausar Thompson, Assists
2024-01-27T18:28:11,0.5,-225,17178.0,Bilal Coulibaly,Over - Bilal Coulibaly, Assists
2024-01-27T18:36:05,1.5,-170,17178.0,Bilal Coulibaly,Over - Bilal Coulibaly, Assists
2024-01-27T19:08:07,2.5,350,17178.0,Bilal Coulibaly,Over - Bilal Coulibaly, Assists
2024-01-27T17:12:05,1.5,-280,,,Over - Bojan Bogdanovic, Alt Assists O/U
2024-01-27T17:12:05,3.5,265,,,Over - Bojan Bogdanovic, Alt Assists O/U
2024-01-27T16:18:02,5.5,1300,,,Over - Bojan Bogdanovic, Alt Assists O/U
2024-01-27T17:12:05,2.5,110,19385.0,Bojan Bogdanovic,Over - Bojan Bogdanovic, Assists
2024-01-27T19:16:07,3.5,650,19385.0,Bojan Bogdanovic,Over - Bojan Bogdanovic, Assists
2024-01-27T18:06:09,4.5,160,,,Over - Bojan Bogdanovic, Assists
2024-01-27T17:12:05,5.5,-230,,,Over - Cade Cunningham, Alt Assists O/U
2024-01-27T17:12:05,8.5,235,,,Over - Cade Cunningham, Alt Assists O/U
2024-01-27T17:12:05,6.5,-120,,,Over - Cade Cunningham, Assists
2024-01-27T17:27:04,7.5,-160,,,Over - Cade Cunningham, Assists
2024-01-27T17:51:11,8.5,-105,,,Over - Cade Cunningham, Assists
2024-01-27T18:32:06,10.5,100,,,Over - Cade Cunningham, Assists
2024-01-27T18:48:04,0.5,260,17192.0,Corey Kispert,Over - Corey Kispert, Assists
2024-01-27T18:56:12,1.5,450,17192.0,Corey Kispert,Over - Corey Kispert, Assists
2024-01-27T17:54:06,0.5,-160,16730.0,Daniel Gafford,Over - Daniel Gafford, Assists
2024-01-27T19:16:07,1.5,900,16730.0,Daniel Gafford,Over - Daniel Gafford, Assists
2024-01-27T17:12:05,2.5,-600,,,Over - Deni Avdija, Alt Assists O/U
2024-01-27T17:12:05,3.5,-240,,,Over - Deni Avdija, Alt Assists O/U
2024-01-27T17:12:05,5.5,175,,,Over - Deni Avdija, Alt Assists O/U
2024-01-27T17:12:05,6.5,340,,,Over - Deni Avdija, Alt Assists O/U
2024-01-27T19:12:07,1.5,190,16943.0,Deni Avdija,Over - Deni Avdija, Assists
2024-01-27T19:16:07,2.5,340,16943.0,Deni Avdija,Over - Deni Avdija, Assists
2024-01-27T18:06:09,3.5,135,,,Over - Deni Avdija, Assists
2024-01-27T17:21:02,4.5,125,,,Over - Deni Avdija, Assists
2024-01-27T18:24:12,0.5,-145,16126.0,Isaiah Stewart,Over - Isaiah Stewart, Assists
2024-01-27T18:28:11,1.5,-110,16126.0,Isaiah Stewart,Over - Isaiah Stewart, Assists
2024-01-27T19:16:07,2.5,650,16126.0,Isaiah Stewart,Over - Isaiah Stewart, Assists
2024-01-27T17:12:05,1.5,-1400,,,Over - Jaden Ivey, Alt Assists O/U
2024-01-27T17:12:05,2.5,-425,,,Over - Jaden Ivey, Alt Assists O/U
2024-01-27T17:12:05,5.5,250,,,Over - Jaden Ivey, Alt Assists O/U
2024-01-27T19:00:14,0.5,-145,16125.0,Jaden Ivey,Over - Jaden Ivey, Assists
2024-01-27T19:16:07,1.5,850,16125.0,Jaden Ivey,Over - Jaden Ivey, Assists
2024-01-27T18:03:02,2.5,105,,,Over - Jaden Ivey, Assists
2024-01-27T17:24:09,3.5,120,,,Over - Jaden Ivey, Assists
2024-01-27T16:00:10,1.5,-205,,,Over - Jalen Duren, Alt Assists O/U
