timestamp,handicap,odds,participant,participant_name,name,description
2024-01-27T16:00:11,1.5,-190,17178.0,Bilal Coulibaly,Bilal Coulibaly Over 1.5,Bilal Coulibaly Over 1.5 Player Assists
2024-01-27T15:36:02,2.5,-110,19385.0,Bojan Bogdanovic,Bojan Bogdanovic Over 2.5,Bojan Bogdanovic Over 2.5 Player Assists
2024-01-27T16:00:11,1.5,120,17192.0,Corey Kispert,Corey Kispert Over 1.5,Corey Kispert Over 1.5 Player Assists
2024-01-27T07:44:08,1.5,130,16730.0,Daniel Gafford,Daniel Gafford Over 1.5,Daniel Gafford Over 1.5 Player Assists
2024-01-27T12:12:06,4.5,-120,16943.0,Deni Avdija,Deni Avdija Over 4.5,Deni Avdija Over 4.5 Player Assists
2024-01-27T15:24:04,1.5,-185,16126.0,Isaiah Stewart,Isaiah Stewart Over 1.5,Isaiah Stewart Over 1.5 Player Assists
2024-01-27T15:57:08,1.5,-215,16762.0,Jalen Duren,Jalen Duren Over 1.5,Jalen Duren Over 1.5 Player Assists
2024-01-27T15:57:08,2.5,130,,,Jalen Duren Over 2.5,Jalen Duren Over 2.5 Player Assists
2024-01-27T15:57:08,3.5,100,366.0,Jordan Poole,Jordan Poole Over 3.5,Jordan Poole Over 3.5 Player Assists
2024-01-27T15:57:08,4.5,-170,16168.0,Kyle Kuzma,Kyle Kuzma Over 4.5,Kyle Kuzma Over 4.5 Player Assists
2024-01-27T15:57:08,0.5,-230,17165.0,Marvin Bagley Iii,Marvin Bagley III Over 0.5,Marvin Bagley III Over 0.5 Player Assists
2024-01-27T15:57:08,7.5,-140,413.0,Tyus Jones,Tyus Jones Over 7.5,Tyus Jones Over 7.5 Player Assists
2024-01-27T16:00:11,1.5,120,17178.0,Bilal Coulibaly,Bilal Coulibaly Under 1.5,Bilal Coulibaly Under 1.5 Player Assists
2024-01-27T15:24:04,2.5,-145,19385.0,Bojan Bogdanovic,Bojan Bogdanovic Under 2.5,Bojan Bogdanovic Under 2.5 Player Assists
2024-01-27T16:00:11,1.5,-190,17192.0,Corey Kispert,Corey Kispert Under 1.5,Corey Kispert Under 1.5 Player Assists
2024-01-27T15:24:04,1.5,-215,16730.0,Daniel Gafford,Daniel Gafford Under 1.5,Daniel Gafford Under 1.5 Player Assists
2024-01-26T22:24:09,4.5,-135,16943.0,Deni Avdija,Deni Avdija Under 4.5,Deni Avdija Under 4.5 Player Assists
2024-01-27T15:24:04,1.5,115,16126.0,Isaiah Stewart,Isaiah Stewart Under 1.5,Isaiah Stewart Under 1.5 Player Assists
2024-01-27T15:57:08,1.5,135,16762.0,Jalen Duren,Jalen Duren Under 1.5,Jalen Duren Under 1.5 Player Assists
2024-01-27T15:57:08,2.5,-215,,,Jalen Duren Under 2.5,Jalen Duren Under 2.5 Player Assists
2024-01-27T15:57:08,3.5,-160,366.0,Jordan Poole,Jordan Poole Under 3.5,Jordan Poole Under 3.5 Player Assists
2024-01-27T07:44:08,4.5,100,16168.0,Kyle Kuzma,Kyle Kuzma Under 4.5,Kyle Kuzma Under 4.5 Player Assists
2024-01-27T15:57:08,0.5,140,17165.0,Marvin Bagley Iii,Marvin Bagley III Under 0.5,Marvin Bagley III Under 0.5 Player Assists
2024-01-27T15:57:08,7.5,-115,413.0,Tyus Jones,Tyus Jones Under 7.5,Tyus Jones Under 7.5 Player Assists
