timestamp,handicap,odds,participant,participant_name,name,description
2024-01-27T19:16:07,0.5,1000,17180.0,Alec Burks,Alec Burks Over,Alec Burks - Assists
2024-01-27T17:51:00,1.5,162,,,Alec Burks Over,Alec Burks - Assists
2024-01-27T19:04:55,0.5,1000,16127.0,Ausar Thompson,Ausar Thompson Over,Ausar Thompson - Assists
2024-01-27T17:30:24,1.5,174,,,Ausar Thompson Over,Ausar Thompson - Assists
2024-01-27T18:32:02,0.5,-230,17178.0,Bilal Coulibaly,Bilal Coulibaly Over,Bilal Coulibaly - Assists
2024-01-27T18:05:02,1.5,188,17178.0,Bilal Coulibaly,Bilal Coulibaly Over,Bilal Coulibaly - Assists
2024-01-27T19:16:07,2.5,1000,17178.0,Bilal Coulibaly,Bilal Coulibaly Over,Bilal Coulibaly - Assists
2024-01-27T18:00:47,2.5,-245,19385.0,Bojan Bogdanovic,Bojan Bogdanovic Over,Bojan Bogdanovic - Assists
2024-01-27T19:16:07,3.5,700,19385.0,Bojan Bogdanovic,Bojan Bogdanovic Over,Bojan Bogdanovic - Assists
2024-01-27T18:05:02,4.5,182,19385.0,Bojan Bogdanovic,Bojan Bogdanovic Over,Bojan Bogdanovic - Assists
2024-01-27T17:10:56,3.5,-1450,,,Cade Cunningham Over 3.5,Cade Cunningham - Alt Assists
2024-01-27T17:10:56,4.5,-470,,,Cade Cunningham Over 4.5,Cade Cunningham - Alt Assists
2024-01-27T17:10:56,5.5,-225,,,Cade Cunningham Over 5.5,Cade Cunningham - Alt Assists
2024-01-27T17:10:56,6.5,-118,,,Cade Cunningham Over 6.5,Cade Cunningham - Alt Assists
2024-01-27T17:10:56,7.5,162,,,Cade Cunningham Over 7.5,Cade Cunningham - Alt Assists
2024-01-27T17:06:01,8.5,280,,,Cade Cunningham Over 8.5,Cade Cunningham - Alt Assists
2024-01-27T17:10:56,6.5,-112,,,Cade Cunningham Over,Cade Cunningham - Assists
