timestamp,handicap,odds,participant,participant_name,name,description
2024-01-27T17:12:10,0.5,-190,,,Over 0.5,How many assists will Marvin Bagley III (Was) record?
2024-01-27T17:12:10,1.5,160,,,Over 1.5,Ausar Thompson (DET): Assists
2024-01-27T17:12:10,1.5,145,,,Over 1.5,Daniel Gafford (WAS): Assists
2024-01-27T17:12:10,1.5,-115,,,Over 1.5,How many assists will Alec Burks (Det) record?
2024-01-27T17:12:10,1.5,-175,,,Over 1.5,How many assists will Bilal Coulibaly (Was) record?
2024-01-27T17:12:10,1.5,125,,,Over 1.5,How many assists will Corey Kispert (Was) record?
2024-01-27T17:12:10,1.5,-155,,,Over 1.5,Isaiah Stewart (DET): Assists
2024-01-27T17:12:10,1.5,-165,,,Over 1.5,Jalen Duren (DET): Assists
2024-01-27T17:12:10,2.5,110,,,Over 2.5,Bojan Bogdanovich (DET): Assists
2024-01-27T16:00:06,2.5,145,,,Over 2.5,Jalen Duren (DET): Assists
2024-01-27T17:12:10,3.5,-165,,,Over 3.5,Jaden Ivey (DET): Assists
2024-01-27T17:12:10,3.5,120,,,Over 3.5,Jordan Poole (WAS): Assists
2024-01-27T17:12:10,4.5,-110,,,Over 4.5,Deni Avdija (WAS): Assists
2024-01-27T17:12:10,4.5,-145,,,Over 4.5,Kyle Kuzma (WAS): Assists
2024-01-27T17:12:10,6.5,-125,,,Over 6.5,Cade Cunningham (DET): Assists
2024-01-27T17:12:10,7.5,-130,,,Over 7.5,Tyus Jones (WAS): Assists
2024-01-27T17:12:10,0.5,145,,,Under 0.5,How many assists will Marvin Bagley III (Was) record?
2024-01-27T17:12:10,1.5,-225,,,Under 1.5,Ausar Thompson (DET): Assists
2024-01-27T17:12:10,1.5,-190,,,Under 1.5,Daniel Gafford (WAS): Assists
2024-01-27T17:12:10,1.5,-120,,,Under 1.5,How many assists will Alec Burks (Det) record?
2024-01-27T17:12:10,1.5,130,,,Under 1.5,How many assists will Bilal Coulibaly (Was) record?
2024-01-27T17:12:10,1.5,-165,,,Under 1.5,How many assists will Corey Kispert (Was) record?
2024-01-27T17:12:10,1.5,115,,,Under 1.5,Isaiah Stewart (DET): Assists
2024-01-27T17:12:10,1.5,125,,,Under 1.5,Jalen Duren (DET): Assists
2024-01-27T17:12:10,2.5,-145,,,Under 2.5,Bojan Bogdanovich (DET): Assists
2024-01-27T16:00:06,2.5,-200,,,Under 2.5,Jalen Duren (DET): Assists
2024-01-27T17:12:10,3.5,125,,,Under 3.5,Jaden Ivey (DET): Assists
2024-01-27T17:12:10,3.5,-160,,,Under 3.5,Jordan Poole (WAS): Assists
2024-01-27T17:12:10,4.5,-120,,,Under 4.5,Deni Avdija (WAS): Assists
2024-01-27T17:12:10,4.5,110,,,Under 4.5,Kyle Kuzma (WAS): Assists
2024-01-27T17:12:10,6.5,-105,,,Under 6.5,Cade Cunningham (DET): Assists
2024-01-27T17:12:10,7.5,-105,,,Under 7.5,Tyus Jones (WAS): Assists
