timestamp,handicap,odds,participant,participant_name,name,description
2024-01-27T17:12:05,6.5,-126,16124,Cade Cunningham,Over,Cade Cunningham (Assists)
2024-01-27T17:12:05,4.5,103,16943,Deni Avdija,Over,Deni Avdija (Assists)
2024-01-27T17:12:05,3.5,-174,16125,Jaden Ivey,Over,Jaden Ivey (Assists)
2024-01-27T17:12:05,3.5,106,366,Jordan Poole,Over,Jordan Poole (Assists)
2024-01-27T17:12:05,4.5,-125,16168,Kyle Kuzma,Over,Kyle Kuzma (Assists)
2024-01-27T17:12:05,7.5,-110,413,Tyus Jones,Over,Tyus Jones (Assists)
2024-01-27T17:12:05,6.5,-105,16124,Cade Cunningham,Under,Cade Cunningham (Assists)
2024-01-27T17:12:05,4.5,-135,16943,Deni Avdija,Under,Deni Avdija (Assists)
2024-01-27T17:12:05,3.5,128,16125,Jaden Ivey,Under,Jaden Ivey (Assists)
2024-01-27T17:12:05,3.5,-140,366,Jordan Poole,Under,Jordan Poole (Assists)
2024-01-27T17:12:05,4.5,-107,16168,Kyle Kuzma,Under,Kyle Kuzma (Assists)
2024-01-27T17:12:05,7.5,-120,413,Tyus Jones,Under,Tyus Jones (Assists)
