timestamp,handicap,odds,participant,participant_name,name,description
2024-01-27T17:12:04,2.5,110,,,Over,Bojan Bogdanovic Total Assists
2024-01-27T17:12:04,6.5,-121,,,Over,Cade Cunningham Total Assists
2024-01-27T17:12:04,1.5,136,,,Over,Daniel Gafford Total Assists
2024-01-27T17:12:04,4.5,-108,,,Over,Deni Avdija Total Assists
2024-01-27T17:12:04,1.5,-145,,,Over,Isaiah Stewart Total Assists
2024-01-27T17:09:03,3.5,-163,,,Over,Jaden Ivey Total Assists
2024-01-27T17:12:04,1.5,-194,,,Over,Jalen Duren Total Assists
2024-01-27T16:00:11,2.5,129,,,Over,Jalen Duren Total Assists
2024-01-27T17:12:04,3.5,114,,,Over,Jordan Poole Total Assists
2024-01-27T17:12:04,4.5,-148,,,Over,Kyle Kuzma Total Assists
2024-01-27T17:12:04,7.5,-131,,,Over,Tyus Jones Total Assists
2024-01-27T17:12:04,2.5,-151,,,Under,Bojan Bogdanovic Total Assists
2024-01-27T17:12:04,6.5,-113,,,Under,Cade Cunningham Total Assists
2024-01-27T17:12:04,1.5,-189,,,Under,Daniel Gafford Total Assists
2024-01-27T17:12:04,4.5,-127,,,Under,Deni Avdija Total Assists
2024-01-27T17:12:04,1.5,106,,,Under,Isaiah Stewart Total Assists
2024-01-27T17:09:03,3.5,118,,,Under,Jaden Ivey Total Assists
2024-01-27T17:12:04,1.5,139,,,Under,Jalen Duren Total Assists
2024-01-27T16:00:11,2.5,-179,,,Under,Jalen Duren Total Assists
2024-01-27T17:12:04,3.5,-157,,,Under,Jordan Poole Total Assists
2024-01-27T17:12:04,4.5,108,,,Under,Kyle Kuzma Total Assists
2024-01-27T17:12:04,7.5,-104,,,Under,Tyus Jones Total Assists
